record_number,paper_number,paper_identifier,group_number_within_paper,group_id,source_evidence,has_section_reference,has_table_reference,has_figure_reference,has_page_reference
664,148,https://doi.org/10.1016/j.applthermaleng.2020.115429,3,A3_60%SOC_400W,Table 2; Fig. 2a; Fig. 3a,0,1,0,0
665,148,https://doi.org/10.1016/j.applthermaleng.2020.115429,4,A4_80%SOC_400W,Table 2; Fig. 2a; Fig. 3a,0,1,0,0
666,148,https://doi.org/10.1016/j.applthermaleng.2020.115429,5,A5_100%SOC_400W,Table 2; Fig. 2a; Fig. 3a,0,1,0,0
667,148,https://doi.org/10.1016/j.applthermaleng.2020.115429,6,B6_100%SOC_200W,Table 2; Fig. 2b; Fig. 3b,0,1,0,0
668,148,https://doi.org/10.1016/j.applthermaleng.2020.115429,7,B7_100%SOC_250W,Table 2; Fig. 2b; Fig. 3b,0,1,0,0
669,148,https://doi.org/10.1016/j.applthermaleng.2020.115429,8,B8_100%SOC_300W,Table 2; Fig. 2b; Fig. 3b,0,1,0,0
670,148,https://doi.org/10.1016/j.applthermaleng.2020.115429,9,B9_100%SOC_350W,Table 2; Fig. 2b; Fig. 3b,0,1,0,0
671,148,https://doi.org/10.1016/j.applthermaleng.2020.115429,10,B10_100%SOC_400W,Table 2; Fig. 2b; Fig. 3b,0,1,0,0
672,149,https://doi.org/10.1016/j.applthermaleng.2020.115679,1,MultiCell_SOC100,Fig. 13 and Table 1,0,1,0,0
673,149,https://doi.org/10.1016/j.applthermaleng.2020.115679,2,MultiCell_SOC30,Fig. 13 and Table 1,0,1,0,0
674,149,https://doi.org/10.1016/j.applthermaleng.2020.115679,3,SingleCell_SOC0_Prelim,Section 3.1 (Preliminary experiment),1,0,0,0
675,150,https://doi.org/10.1016/j.applthermaleng.2020.116346,1,Fixed_20W_16kJ,"Table 2 (T_vent, T_trigger, max temperature); Fig. 7 (max dT/dt); Fig. 4(b); Stage descriptions in Section 3.1",1,1,0,0
676,150,https://doi.org/10.1016/j.applthermaleng.2020.116346,2,Fixed_50W_16kJ,Table 2; Fig. 7; Fig. 4(c); Explosion description in Section 3.4,1,1,0,0
677,150,https://doi.org/10.1016/j.applthermaleng.2020.116346,3,Fixed_100W_16kJ,Table 2; Fig. 7; Fig. 4(d); Section 3.3 (heat generation peak at 100 W),1,1,0,0
678,150,https://doi.org/10.1016/j.applthermaleng.2020.116346,4,Fixed_150W_16kJ,Table 2; Fig. 7; Fig. 4(e); Section 3.1,1,1,0,0
679,150,https://doi.org/10.1016/j.applthermaleng.2020.116346,5,Fixed_200W_16kJ,Table 2; Fig. 7; Fig. 4(f); Explosion discussion in Section 3.4,1,1,0,0
680,150,https://doi.org/10.1016/j.applthermaleng.2020.116346,6,Continuous_20W,Fig. 3 (typical 20 W continuous heating; ~800 s to TR); Fig. 4(a); Section 2.3 and 3.1,1,0,0,0
681,151,https://doi.org/10.1016/j.applthermaleng.2021.116661,1,NCA_50SOC_FilmHeater,Fig. 4 and Section 2.3 (Experiments considered),1,0,0,0
682,152,https://doi.org/10.1016/j.applthermaleng.2021.116949,1,Case1_SOC0,Table 1; Fig. 6; Section 3.1.1 and 3.2.1,1,1,0,0
683,152,https://doi.org/10.1016/j.applthermaleng.2021.116949,2,Case1_SOC50,Table 1; Fig. 6; Section 3.1.1 and 3.2.1,1,1,0,0
684,152,https://doi.org/10.1016/j.applthermaleng.2021.116949,3,Case1_SOC100,Table 1; Fig. 6; Section 3.1.1 and 3.2.1,1,1,0,0
685,152,https://doi.org/10.1016/j.applthermaleng.2021.116949,4,Case2_SOC0,Table 1; Fig. 6; Section 3.1.2 and 3.2.2,1,1,0,0
686,152,https://doi.org/10.1016/j.applthermaleng.2021.116949,5,Case2_SOC50,Table 1; Fig. 6; Section 3.1.2 and 3.2.2,1,1,0,0
687,152,https://doi.org/10.1016/j.applthermaleng.2021.116949,6,Case2_SOC100,Table 1; Fig. 6; Section 3.1.2 and 3.2.2,1,1,0,0
688,153,https://doi.org/10.1016/j.applthermaleng.2021.117147,1,Group_V_SOC_50,"Fig. 8(a) and Table 2 (Group V, SOC 50%)",0,1,0,0
689,153,https://doi.org/10.1016/j.applthermaleng.2021.117147,2,Group_V_SOC_75,"Fig. 7(a), Fig. 7(d), Table 4 (Group V, SOC 75%)",0,1,0,0
690,153,https://doi.org/10.1016/j.applthermaleng.2021.117147,3,Group_V_SOC_100,"Fig. 8(a) and Table 2 (Group V, SOC 100%)",0,1,0,0
691,153,https://doi.org/10.1016/j.applthermaleng.2021.117147,4,Group_VI_SOC_50,"Fig. 8(b) and Table 2 (Group VI, SOC 50%)",0,1,0,0
692,153,https://doi.org/10.1016/j.applthermaleng.2021.117147,5,Group_VI_SOC_75,"Fig. 7(b), Fig. 7(e), Table 4 (Group VI, SOC 75%)",0,1,0,0
693,153,https://doi.org/10.1016/j.applthermaleng.2021.117147,6,Group_VI_SOC_100,"Fig. 8(b) and Table 2 (Group VI, SOC 100%)",0,1,0,0
694,154,https://doi.org/10.1016/j.applthermaleng.2021.117244,1,Lengthwise_100_SOC,"Fig. 3 (temperature, voltage, and temperature rate for lengthwise), Table 1 (maximum temperature for 100% SOC lengthwise), Fig. 10 (time of safety valve opening and TR onset), Section 3.1 and 3.3",1,1,0,0
695,154,https://doi.org/10.1016/j.applthermaleng.2021.117244,2,Transversal_100_SOC,"Fig. 5 (temperature, voltage, and temperature rate for different SOCs in transversal), Fig. 6 (placement comparison), Table 2 (maximum temperature for 100% SOC transversal), Fig. 11 (pressure trace with safety valve opening at ~654 s and thermal runaway at ~704 s), Section 3.2",1,1,0,0
696,155,https://doi.org/10.1016/j.applthermaleng.2021.117399,1,SOC50_s0,"Setup: Fig. 1, Section 2.2; TR criteria: Section 3.1.1; Lower-cell temperatures/times: Table 5; Propagation outcome: Table 3; Mechanism: Section 3.2.2",1,1,0,0
697,155,https://doi.org/10.1016/j.applthermaleng.2021.117399,2,SOC80_s0,Propagation time: Table 4; Temperatures/times (lower cell): Table 5; Temperature traces: Fig. 6; Mechanism: Section 3.2.2,1,1,0,0
698,155,https://doi.org/10.1016/j.applthermaleng.2021.117399,3,SOC80_s4,Propagation outcome/time: Tables 3–4; Lower-cell temperatures/times: Table 5; Temperature traces: Fig. 6; Mechanism: Section 3.2.2,1,1,0,0
699,155,https://doi.org/10.1016/j.applthermaleng.2021.117399,4,SOC80_s6,Propagation outcome: Table 3; Lower-cell temperatures/times: Table 5; Temperature traces: Fig. 6; Mechanism: Section 3.2.2,1,1,0,0
700,155,https://doi.org/10.1016/j.applthermaleng.2021.117399,5,SOC100_s0,Propagation outcome/time: Tables 3–4; Lower-cell temperatures/times: Table 5; Temperature traces: Fig. 5; Mechanism: Section 3.2.2,1,1,0,0
701,155,https://doi.org/10.1016/j.applthermaleng.2021.117399,6,SOC100_s4,Propagation outcome/time: Tables 3–4; Lower-cell temperatures/times: Table 5; Temperature traces: Fig. 5; Mechanism: Section 3.2.2,1,1,0,0
702,155,https://doi.org/10.1016/j.applthermaleng.2021.117399,7,SOC100_s6,Propagation time: Table 4; Temperature rise rate behavior: Fig. 8; Lower-cell temperatures/times: Table 5; Temperature traces: Fig. 5; Mechanism: Section 3.1.2 and 3.2.2,1,1,0,0
703,155,https://doi.org/10.1016/j.applthermaleng.2021.117399,8,SOC100_s8,Propagation outcome: Table 3; Lower-cell temperatures/times: Table 5; Temperature traces: Fig. 5; Mechanism: Section 3.2.2,1,1,0,0
704,156,https://doi.org/10.1016/j.applthermaleng.2021.117521,1,Exp_1,Experimental setup in Section 3 and Fig. 3; temperature/voltage behavior in Fig. 4; propagation timing in Table 5; heat-flux mechanism in Fig. 7 and Conclusions (2).,1,1,0,0
705,156,https://doi.org/10.1016/j.applthermaleng.2021.117521,2,Exp_2,Experimental settings in Section 3; Fig. 3 and Fig. 4; propagation timing in Table 5; heat-flux comparison in Fig. 7 and Conclusions (2).,1,1,0,0
706,156,https://doi.org/10.1016/j.applthermaleng.2021.117521,3,Exp_3,Experimental configuration in Section 3 and Fig. 3; temperature/voltage traces in Fig. 4; propagation data in Table 5; interpretation in Fig. 6 and text in Section 4.1.,1,1,0,0
707,156,https://doi.org/10.1016/j.applthermaleng.2021.117521,4,Exp_4,Experimental setup and conditions in Section 3 and Fig. 3; no-propagation outcome in Fig. 4 and Table 5 (Exp.4# with NA for Cells 2–6); boundary map validation in Fig. 11.,1,1,0,0
708,157,https://doi.org/10.1016/j.applthermaleng.2021.117774,1,NoSidePlates_Cell1,"Section 2.4; Fig. 3; Fig. 6; Table 6 (t_tri,1 and T_max,1 experimental values)",1,1,0,0
709,157,https://doi.org/10.1016/j.applthermaleng.2021.117774,2,NoSidePlates_Cell2,"Section 2.4; Fig. 6; Table 6 (t_tri,2 and T_max,2 experimental values)",1,1,0,0
710,157,https://doi.org/10.1016/j.applthermaleng.2021.117774,3,NoSidePlates_Cell3,"Section 2.4; Fig. 6; Table 6 (t_tri,3 and T_max,3 experimental values)",1,1,0,0
711,157,https://doi.org/10.1016/j.applthermaleng.2021.117774,4,NoSidePlates_Cell4,"Section 2.4; Fig. 6; Table 6 (t_tri,4 and T_max,4 experimental values)",1,1,0,0
712,158,https://doi.org/10.1016/j.applthermaleng.2022.118418,1,EV-ARC_SingleCell,Section 3.1.1; Fig. 5; Fig. 6,1,0,0,0
713,158,https://doi.org/10.1016/j.applthermaleng.2022.118418,2,LateralHeating_SingleCell,Section 3.1.2; Fig. 7,1,0,0,0
714,158,https://doi.org/10.1016/j.applthermaleng.2022.118418,3,Module_B1_Heated,Sections 3.2.1–3.2.4; Figs. 8–11,0,0,0,0
715,159,https://doi.org/10.1016/j.applthermaleng.2022.118565,1,ARC_80SOH_40C_AgedCell,Fig. 6(a–b); Section 3.2,1,0,0,0
716,160,10.1016/j.applthermaleng.2022.119255,1,Sample_1,,0,0,0,0
717,160,10.1016/j.applthermaleng.2022.119255,2,Sample_2,,0,0,0,0
718,160,10.1016/j.applthermaleng.2022.119255,3,Sample_3,,0,0,0,0
719,160,10.1016/j.applthermaleng.2022.119255,4,Sample_4,,0,0,0,0
720,161,https://doi.org/10.1016/j.applthermaleng.2022.119830,1,Exp1_Case1_NoFlame,Case definition and flame presence: Table 2; Onset time: Table 4; Setup: Fig. 1; TR behavior without flame: Fig. 2b,0,1,0,0
721,161,https://doi.org/10.1016/j.applthermaleng.2022.119830,2,Exp2_Case1_NoFlame,Case/flame classification: Table 2; Onset time: Table 4; Setup: Fig. 1; TR behavior without flame: Fig. 2b,0,1,0,0
722,161,https://doi.org/10.1016/j.applthermaleng.2022.119830,3,Exp3_Case1_Flame,Case/flame classification: Table 2; TR behavior with flame: Fig. 2a; Onset time: Table 4; Enclosure temperature effect: Fig. 6,0,1,0,0
723,161,https://doi.org/10.1016/j.applthermaleng.2022.119830,4,Exp4_Case1_Flame,Case/flame classification: Table 2; TR with flame: Fig. 2a; Onset time: Table 4; Enclosure temperature differences: Fig. 6,0,1,0,0
724,161,https://doi.org/10.1016/j.applthermaleng.2022.119830,5,Exp5_Case2_Flame,Case/flame classification: Table 2; Onset time: Table 4; Enclosure and cell temperatures: Figs. 6–7; TR behavior with flame: Fig. 2a,0,1,0,0
725,161,https://doi.org/10.1016/j.applthermaleng.2022.119830,6,Exp6_Case2_Flame,"Case/flame classification: Table 2; Onset time: Table 4; Enclosure/cell temperatures and feedback: Figs. 5–7, 9",0,1,0,0
726,161,https://doi.org/10.1016/j.applthermaleng.2022.119830,7,Exp7_Case2_NoFlame,Case/flame classification: Table 2; Onset time and first-TR cell: Table 4 and Fig. 3c; Enclosure and cell temperatures: Figs. 6–7; No-return temperature analysis: Section 3.6.2,1,1,0,0
727,161,https://doi.org/10.1016/j.applthermaleng.2022.119830,8,Exp8_Case2_NoFlame,"Case/flame classification: Table 2; Onset time: Table 4; Setup and temperature context: Figs. 1, 6–7",0,1,0,0
728,162,https://doi.org/10.1016/j.applthermaleng.2023.120816,1,Batt1_SOC50,Table 3; Section 3.1,1,1,0,0
729,162,https://doi.org/10.1016/j.applthermaleng.2023.120816,2,Batt1_SOC75,Table 3,0,1,0,0
730,162,https://doi.org/10.1016/j.applthermaleng.2023.120816,3,Batt1_SOC100,Table 3; Fig. 2,0,1,0,0
731,162,https://doi.org/10.1016/j.applthermaleng.2023.120816,4,Batt2_SOC50,Table 3,0,1,0,0
732,162,https://doi.org/10.1016/j.applthermaleng.2023.120816,5,Batt2_SOC75,Table 3,0,1,0,0
733,162,https://doi.org/10.1016/j.applthermaleng.2023.120816,6,Batt2_SOC100,Table 3,0,1,0,0
734,162,https://doi.org/10.1016/j.applthermaleng.2023.120816,7,Batt3_SOC25,Table 3,0,1,0,0
735,162,https://doi.org/10.1016/j.applthermaleng.2023.120816,8,Batt3_SOC50,Table 3,0,1,0,0
736,162,https://doi.org/10.1016/j.applthermaleng.2023.120816,9,Batt3_SOC75,Table 3,0,1,0,0
737,162,https://doi.org/10.1016/j.applthermaleng.2023.120816,10,Batt3_SOC100,Table 3,0,1,0,0
738,162,https://doi.org/10.1016/j.applthermaleng.2023.120816,11,Batt4_SOC50,Table 3,0,1,0,0
739,162,https://doi.org/10.1016/j.applthermaleng.2023.120816,12,Batt4_SOC75,Table 3,0,1,0,0
740,162,https://doi.org/10.1016/j.applthermaleng.2023.120816,13,Batt4_SOC100,Table 3,0,1,0,0
741,162,https://doi.org/10.1016/j.applthermaleng.2023.120816,14,Batt1_SOC100_GasWarning,Fig. 6 and Fig. 7; Section 3.5,1,0,0,0
742,163,https://doi.org/10.1016/j.applthermaleng.2023.121946,1,TRP_Module_100SOC,Section 2.1–2.3; Fig. 4(b); Fig. 5(b); Table 5,1,1,0,0
743,164,https://doi.org/10.1016/j.applthermaleng.2023.121991,1,ARC_LN2_Suspension,Fig. 15 and associated text citing Zhang et al. [54],0,0,0,0
744,164,https://doi.org/10.1016/j.applthermaleng.2023.121991,2,ARC_N2_Gas_Suspension,Fig. 15 and associated text citing Zhang et al. [54],0,0,0,0
745,165,https://doi.org/10.1016/j.applthermaleng.2023.122166,1,OS_25_SOC_NoFWM,Table 2; Section 4.1; Fig. 4a,1,1,0,0
746,165,https://doi.org/10.1016/j.applthermaleng.2023.122166,2,OS_50_SOC_NoFWM,Table 2; Section 4.1; Fig. 4b,1,1,0,0
747,165,https://doi.org/10.1016/j.applthermaleng.2023.122166,3,OS_75_SOC_NoFWM,Table 2; Section 4.1; Fig. 4c,1,1,0,0
748,165,https://doi.org/10.1016/j.applthermaleng.2023.122166,4,OS_100_SOC_NoFWM,Table 2; Section 4.1; Fig. 4d,1,1,0,0
749,165,https://doi.org/10.1016/j.applthermaleng.2023.122166,5,CS_25_SOC_NoFWM,Table 3; Section 4.1; Fig. 5a,1,1,0,0
750,165,https://doi.org/10.1016/j.applthermaleng.2023.122166,6,CS_50_SOC_NoFWM,Table 3; Section 4.1; Fig. 5b,1,1,0,0
751,165,https://doi.org/10.1016/j.applthermaleng.2023.122166,7,CS_75_SOC_NoFWM,Table 3; Section 4.1; Fig. 5c,1,1,0,0
752,165,https://doi.org/10.1016/j.applthermaleng.2023.122166,8,CS_100_SOC_NoFWM,Table 3; Section 4.1; Fig. 5d,1,1,0,0
753,165,https://doi.org/10.1016/j.applthermaleng.2023.122166,9,CS_25_SOC_FWM_Suppressed,Table 4; Sections 3.2 and 4.3.1; Fig. 10a,0,1,0,0
754,165,https://doi.org/10.1016/j.applthermaleng.2023.122166,10,CS_50_SOC_FWM_Suppressed,Table 4; Sections 3.2 and 4.3.1; Fig. 10b,0,1,0,0
755,165,https://doi.org/10.1016/j.applthermaleng.2023.122166,11,CS_75_SOC_FWM_Suppressed,"Table 4; Sections 4.3.1–4.3.2; Fig. 10c, Fig. 11",0,1,0,0
756,165,https://doi.org/10.1016/j.applthermaleng.2023.122166,12,CS_100_SOC_FWM_Suppressed,Table 4; Sections 4.2–4.3.1; Fig. 10d,0,1,0,0
757,165,https://doi.org/10.1016/j.applthermaleng.2023.122166,13,CS_ReheatAfterFWM_25_SOC,Table 6; Section 4.4; Fig. 17a,1,1,0,0
758,165,https://doi.org/10.1016/j.applthermaleng.2023.122166,14,CS_ReheatAfterFWM_50_SOC,Table 6; Section 4.4; Fig. 17b,1,1,0,0
759,165,https://doi.org/10.1016/j.applthermaleng.2023.122166,15,CS_ReheatAfterFWM_75_SOC,Table 6; Section 4.4; Fig. 17c,1,1,0,0
760,165,https://doi.org/10.1016/j.applthermaleng.2023.122166,16,CS_ReheatAfterFWM_100_SOC,Table 6; Section 4.4; Fig. 17d,1,1,0,0
761,166,https://doi.org/10.1016/j.applthermaleng.2024.123054,1,SOH_100,Table 4; Fig. 10; Fig. 11–13; Section 2.7 and 3.3–3.4,1,1,0,0
762,166,https://doi.org/10.1016/j.applthermaleng.2024.123054,2,SOH_90_47,Table 4; Fig. 11–13; Section 3.4.1,1,1,0,0
763,166,https://doi.org/10.1016/j.applthermaleng.2024.123054,3,SOH_81_17,Table 4; Fig. 11–13; Section 3.4.1,1,1,0,0
764,166,https://doi.org/10.1016/j.applthermaleng.2024.123054,4,SOH_80_23,Table 4; Fig. 11–13; Section 3.4.1,1,1,0,0
765,166,https://doi.org/10.1016/j.applthermaleng.2024.123054,5,SOH_70_15,Table 4; Fig. 11–13; Section 3.4.1–3.4.2,1,1,0,0
766,166,https://doi.org/10.1016/j.applthermaleng.2024.123054,6,SOH_63_40,Table 4; Fig. 11–13; Section 3.4.1–3.4.2,1,1,0,0
767,167,https://doi.org/10.1016/j.applthermaleng.2024.123421,1,SingleCell_HWS_FullSOC,Fig. 8(a) and Section 3.1,1,0,0,0
768,168,https://doi.org/10.1016/j.applthermaleng.2024.123518,1,Sim_Cell1_HeatFlux_5S1P,"Section 2.4; Fig. 7 (text states: “At 9.34 s, Cell 1 reached its maximum temperature…”)",1,0,0,0
769,169,https://doi.org/10.1016/j.applthermaleng.2024.124093,1,Depth_0mm_NaturalCooling,Fig. 7 and Section 3.1.3,1,0,0,0
770,169,https://doi.org/10.1016/j.applthermaleng.2024.124093,2,Depth_20mm,"Fig. 3a, Fig. 4a, Fig. 7, and Section 3.1.1",1,0,0,0
771,169,https://doi.org/10.1016/j.applthermaleng.2024.124093,3,Depth_45mm,"Fig. 3b, Fig. 4b, Fig. 7, and Section 3.1.1",1,0,0,0
772,169,https://doi.org/10.1016/j.applthermaleng.2024.124093,4,Depth_65mm,"Fig. 3c, Fig. 4c, Fig. 7, and Section 3.1.1",1,0,0,0
773,169,https://doi.org/10.1016/j.applthermaleng.2024.124093,5,Depth_70mm_FullyImmersed,"Fig. 3d, Fig. 4d, Fig. 7, and Section 3.1.1",1,0,0,0
774,169,https://doi.org/10.1016/j.applthermaleng.2024.124093,6,SOC_100pct_SingleCell,Table 3 and Fig. 12,0,1,0,0
775,169,https://doi.org/10.1016/j.applthermaleng.2024.124093,7,SOC_75pct_SingleCell,Table 3 and Fig. 12,0,1,0,0
776,169,https://doi.org/10.1016/j.applthermaleng.2024.124093,8,SOC_50pct_SingleCell,Table 3 and Fig. 12,0,1,0,0
777,169,https://doi.org/10.1016/j.applthermaleng.2024.124093,9,Module_SOC_100pct_AdjacentCells,Fig. 13 and Fig. 14,0,0,0,0
778,169,https://doi.org/10.1016/j.applthermaleng.2024.124093,10,Module_SOC_75pct_AdjacentCells,Fig. 13 and Fig. 14,0,0,0,0
779,169,https://doi.org/10.1016/j.applthermaleng.2024.124093,11,Module_SOC_50pct_AdjacentCells,Fig. 13 and Fig. 14,0,0,0,0
780,170,https://doi.org/10.1016/j.applthermaleng.2024.124188,1,UH_0ms,"Table 2a (T_onset and T_max at 0 m/s), Fig. 4c (Tsv-UH, Tonset-UH), Fig. 15b (dT/dt(max)), Section 3.2",1,1,0,0
781,170,https://doi.org/10.1016/j.applthermaleng.2024.124188,2,UH_3ms,"Fig. 4a (tonset-UH time at 3 m/s), Fig. 4c (Tsv-UH and Tonset-UH at 3 m/s), Fig. 4d (Tmax-UH at 3 m/s), Fig. 15b (dT/dt(max)), Section 3.2",1,0,0,0
782,170,https://doi.org/10.1016/j.applthermaleng.2024.124188,3,H_1ms,"Fig. 6a–e (time and temperature changes in humidified vs. un-humidified at 1 m/s), Fig. 7b (flame temperatures at 1 m/s: Tf-1 ≈ 428.6 °C, Tf-2 ≈ 126.4 °C, Tf-3 ≈ 84.3 °C), Fig. 16 (dT/dt reductions), Section 3.2–3.3",1,0,0,0
783,171,https://doi.org/10.1016/j.applthermaleng.2024.124220,1,AirFlow_0.15,Results and discussion; Fig. 16(b); Model validation section,1,0,0,0
784,171,https://doi.org/10.1016/j.applthermaleng.2024.124220,2,AirFlow_0.25,Results and discussion; Fig. 16(c),0,0,0,0
785,171,https://doi.org/10.1016/j.applthermaleng.2024.124220,3,AirFlow_0.35,Results and discussion; Fig. 16(d),0,0,0,0
786,172,https://doi.org/10.1016/j.applthermaleng.2024.124813,1,PW_block,Section 3.5; Fig. 16(a)–(d),1,0,0,0
787,172,https://doi.org/10.1016/j.applthermaleng.2024.124813,2,PEEF_block,Section 3.5; Fig. 16(a)–(d),1,0,0,0
788,172,https://doi.org/10.1016/j.applthermaleng.2024.124813,3,PEE@EBF_block,Section 3.5; Fig. 16(a)–(d),1,0,0,0
789,173,https://doi.org/10.1016/j.applthermaleng.2025.125501,1,Validation_LevelIII_Fresh,Figure 12 and Section 3.8 (warning effectiveness validation); Section 2.4 and Fig. 1 (test setup),1,0,1,0
790,173,https://doi.org/10.1016/j.applthermaleng.2025.125501,2,Validation_LevelIII_Aged_60kPa_10C,Figure 12 and Section 3.8 (warning effectiveness validation); Table 2 and Section 2.2 (aging conditions); Section 2.4 and Fig. 1 (test setup),1,1,1,0
791,174,https://doi.org/10.1016/j.applthermaleng.2025.125991,1,SOC_5,Section 3 text and Fig. 4: vent opening at 130 s for 5% SOC; explicit statement that Stage 3 (flames) did not occur at 5% SOC.,1,0,0,0
792,174,https://doi.org/10.1016/j.applthermaleng.2025.125991,2,SOC_40,"Section 3 text: vent opening at 179 s (Fig. 4), continuous venting ~214 s before Stage 3; Stage 3 initiation time ≈ 179 s + 214 s = 393 s (Fig. 5).",1,0,0,0
793,174,https://doi.org/10.1016/j.applthermaleng.2025.125991,3,SOC_80,"Section 3 text: vent opening at 173 s (Fig. 4), ~170 s of venting before Stage 3 ignition; Stage 3 time ≈ 173 s + 170 s = 343 s (Fig. 6).",1,0,0,0
794,175,https://doi.org/10.1016/j.applthermaleng.2025.126299,1,SOC_0_percent,"Fig. 3a (ejection), Fig. 5a (pressure), Fig. 6 and Section 3.3 (temperature narrative), Table 2 (ejection timing), Table 3 (Δτ values)",1,1,0,0
795,175,https://doi.org/10.1016/j.applthermaleng.2025.126299,2,SOC_25_percent,"Fig. 3b (ejection), Fig. 6 and Section 3.3 (TR at 444.3 s; TFmax 667 °C), Fig. 8b (V/P/T), Table 2 (ejection timing), Table 3 (Δτ values)",1,1,0,0
796,175,https://doi.org/10.1016/j.applthermaleng.2025.126299,3,SOC_50_percent,"Fig. 3c (ejection), Fig. 5c (pressure), Fig. 6 and Section 3.3 (TFmax ≈ 53.1 °C lower than 70% SOC), Fig. 8c (V/P/T), Table 2 (venting 396.8 s), Table 3 (Δτ values)",1,1,0,0
797,175,https://doi.org/10.1016/j.applthermaleng.2025.126299,4,SOC_70_percent,"Fig. 3d (ejection with jellyroll/particulates), Fig. 5d (pressure), Fig. 6 and Section 3.3 (TFmax 694 °C, delay vs 100%), Fig. 8d (V/P/T), Table 2 (venting 340.6 s), Table 3 (Δτ values)",1,1,0,0
798,175,https://doi.org/10.1016/j.applthermaleng.2025.126299,5,SOC_100_percent,"Fig. 3e (spark ejection), Fig. 5e (pressure), Fig. 6 and Section 3.3 (TFmax 819.3 °C at 295.7 s; TBmax 625.4 °C at 332.9 s), Fig. 8e (V/P/T), Table 2 (venting 263.7 s), Table 3 (Δτ values), Fig. 12 (melt zone)",1,1,0,0
799,176,https://doi.org/10.1016/j.applthermaleng.2025.126616,1,ExternalHeating_0C,Section 3.1 (text) and Fig. 6: uncharged (0C) condition thermal runaway time 692 s,1,0,0,0
800,176,https://doi.org/10.1016/j.applthermaleng.2025.126616,2,ExternalHeating_Charge_1C,Section 3.1 (text) and Fig. 6: 1C charge condition thermal runaway time 659 s; temperature nonuniformity (~47 °C) at 659 s noted in Fig. 7,1,0,0,0
801,176,https://doi.org/10.1016/j.applthermaleng.2025.126616,3,ExternalHeating_Discharge_1C,Table 6: 1C discharge time to thermal runaway 586 s; Section 3.3 discusses faster TR under discharge,1,1,0,0
802,176,https://doi.org/10.1016/j.applthermaleng.2025.126616,4,ExternalHeating_Discharge_3C,Table 6: 3C discharge time to thermal runaway 533 s; Section 3.3,1,1,0,0
803,176,https://doi.org/10.1016/j.applthermaleng.2025.126616,5,ExternalHeating_Discharge_5C,Table 6: 5C discharge time to thermal runaway 480 s; Section 3.3 discussion on forced switch to charging and lower peak temperature,1,1,0,0
804,177,https://doi.org/10.1016/j.applthermaleng.2025.126634,1,1C_0%SOC,Table 3; Sections 2.1–2.2,0,1,0,0
805,177,https://doi.org/10.1016/j.applthermaleng.2025.126634,2,1C_50%SOC,Table 3; Sections 2.1–2.2,0,1,0,0
806,177,https://doi.org/10.1016/j.applthermaleng.2025.126634,3,1C_75%SOC,Table 3; Sections 2.1–2.2,0,1,0,0
807,177,https://doi.org/10.1016/j.applthermaleng.2025.126634,4,1C_100%SOC,Table 3; Sections 2.1–2.2,0,1,0,0
808,177,https://doi.org/10.1016/j.applthermaleng.2025.126634,5,2C_0%SOC,Table 3; Sections 2.1–2.2,0,1,0,0
809,177,https://doi.org/10.1016/j.applthermaleng.2025.126634,6,2C_50%SOC,Table 3; Sections 2.1–2.2,0,1,0,0
810,177,https://doi.org/10.1016/j.applthermaleng.2025.126634,7,2C_75%SOC,Table 3; Sections 2.1–2.2,0,1,0,0
811,177,https://doi.org/10.1016/j.applthermaleng.2025.126634,8,2C_100%SOC,Table 3; Sections 2.1–2.2,0,1,0,0
812,177,https://doi.org/10.1016/j.applthermaleng.2025.126634,9,3C_0%SOC,Table 3; Sections 2.1–2.2,0,1,0,0
813,177,https://doi.org/10.1016/j.applthermaleng.2025.126634,10,3C_50%SOC,Table 3; Sections 2.1–2.2,0,1,0,0
814,177,https://doi.org/10.1016/j.applthermaleng.2025.126634,11,3C_75%SOC,Table 3; Sections 2.1–2.2,0,1,0,0
815,177,https://doi.org/10.1016/j.applthermaleng.2025.126634,12,3C_100%SOC,Table 3; Sections 2.1–2.2,0,1,0,0
816,178,https://doi.org/10.1016/j.applthermaleng.2025.127320,1,Test_1,Fig. 2a and Section 3.1 for time and peak temperature; Fig. 3 for parameter definitions; Section 3.2 (Test 1 example) and Fig. 4 for valve/threshold context.,1,0,0,0
817,178,https://doi.org/10.1016/j.applthermaleng.2025.127320,2,Test_2,Fig. 2b and Section 3.1 for time and peak temperature; Fig. 3 for parameter definitions; Section 3.1 comparative narrative.,1,0,0,0
818,179,https://doi.org/10.1016/j.applthermaleng.2025.127734,1,Thickness_29mm_60Ah,"Fig. 3b–c (setup), Fig. 4a (29 mm temperature profile), Table 2 (experimental maxima and TRP times), Sections 3.2–3.3",0,1,0,0
819,179,https://doi.org/10.1016/j.applthermaleng.2025.127734,2,Thickness_52mm_102Ah,"Fig. 4b (52 mm temperature profile), Table 2 (experimental maxima and TRP times), Sections 3.2–3.4",0,1,0,0
820,179,https://doi.org/10.1016/j.applthermaleng.2025.127734,3,Thickness_80mm_153Ah,"Fig. 4c (80 mm temperature profile), Table 2 (experimental maxima and TRP times), Sections 3.2–3.4",0,1,0,0
821,180,https://doi.org/10.1016/j.applthermaleng.2025.127780,1,Module_Cell1_LateralHeating_700W,"Section 5.1 (Experimental results), Table 5, and Fig. 4a",1,1,0,0
